ESPECIE,PARÁMETRO,FORMA DE CUBICACIÓN,Modelo,A,B,C,D,P,Q,R,DNM
Salix caprea,VLE,6,12,-,-,-,,0.0016601,1.7736,-,-
Eucalyptus viminalis,VCC,1,1,18.65,0.0002641,-,-,-,-,-,
Eucalyptus viminalis,VCC,2,1,18.65,0.0002641,-,-,-,-,-,
Eucalyptus viminalis,VCC,3,1,-1.02,0.0002111,-,-,-,-,-,
Eucalyptus viminalis,VCC,5,1,21.50442,0.000112,-,-,-,-,-,
Eucalyptus viminalis,VSC,1,7,-3.43,0.8106233,7.9e-06,-,-,-,-,
Eucalyptus viminalis,VSC,2,7,-3.43,0.8106233,7.9e-06,-,-,-,-,
Eucalyptus viminalis,VSC,3,7,0.05,0.7677083,0.0016267,-,-,-,-,
Eucalyptus viminalis,VSC,5,7,1.88,0.7659407,8.55e-05,-,-,-,-,
Eucalyptus viminalis,IAVC,1,21,-,-,0.0009771,-7.8166e-07,-,-,-,-
Eucalyptus viminalis,IAVC,2,21,-,-,0.0009771,-7.8166e-07,-,-,-,-
Eucalyptus viminalis,IAVC,3,21,-,-,0.0009771,-7.8166e-07,-,-,-,-
Eucalyptus viminalis,IAVC,5,21,-,-,0.0009771,-7.8166e-07,-,-,-,-
Eucalyptus viminalis,VLE,1,12,-,-,-,,0.0017465,1.73173,-,-
Eucalyptus viminalis,VLE,2,12,-,-,-,,0.0017465,1.73173,-,-
Eucalyptus viminalis,VLE,3,12,-,-,-,,0.0017465,1.73173,-,-
Eucalyptus viminalis,VLE,5,12,-,-,-,,0.0017465,1.73173,-,-
Betula alba,VCC,2,1,12.68,0.0002535,-,-,-,-,-,
Betula alba,VCC,3,1,12.68,0.0002535,-,-,-,-,-,
Betula alba,VCC,4,1,12.68,0.0002535,-,-,-,-,-,
Betula alba,VCC,5,1,12.68,0.0002535,-,-,-,-,-,
Betula alba,VSC,2,7,1.88,0.7659407,8.55e-05,-,-,-,-,
Betula alba,VSC,3,7,1.88,0.7659407,8.55e-05,-,-,-,-,
Betula alba,VSC,4,7,1.88,0.7659407,8.55e-05,-,-,-,-,
Betula alba,VSC,5,7,1.88,0.7659407,8.55e-05,-,-,-,-,
Betula alba,IAVC,2,17,12.08278,-0.0809781,0.0002674,-,-,-,-,-
Betula alba,IAVC,3,17,12.08278,-0.0809781,0.0002674,-,-,-,-,-
Betula alba,IAVC,4,17,12.08278,-0.0809781,0.0002674,-,-,-,-,-
Betula alba,IAVC,5,17,12.08278,-0.0809781,0.0002674,-,-,-,-,-
Betula alba,VLE,2,12,-,-,-,,4.66e-05,2.38142,-,-
Betula alba,VLE,3,12,-,-,-,,4.66e-05,2.38142,-,-
Betula alba,VLE,4,12,-,-,-,,4.66e-05,2.38142,-,-
Betula alba,VLE,5,12,-,-,-,,4.66e-05,2.38142,-,-
