ESPECIE,PARÁMETRO,FORMA DE CUBICACIÓN,Modelo,A,B,C,D,P,Q,R,DNM
Salix caprea,IAVC,4,19,10.62655,-0.1512199,0.0007093,-7.8372e-07,-,-,-,-
Salix caprea,IAVC,5,19,10.62655,-0.1512199,0.0007093,-7.8372e-07,-,-,-,-
Salix caprea,VLE,2,12,-,-,-,0.0016601,1.7736,-,-,-
Salix caprea,VLE,3,12,-,-,-,0.0016601,1.7736,-,-,-
Salix caprea,VLE,4,12,-,-,-,0.0016601,1.7736,-,-,-
Salix caprea,VLE,5,12,-,-,-,0.0016601,1.7736,-,-,-
Populus nigra,VCC,2,1,28.72,0.0002582,-,-,-,-,-,-
Populus nigra,VCC,3,1,0.68,0.0002336,-,-,-,-,-,-
Populus nigra,VCC,5,1,59.08,0.0001293,-,-,-,-,-,-
Populus nigra,VSC,2,7,0.26,0.8236223,2.33e-05,-,-,-,-,-
Populus nigra,VSC,3,7,0.26,0.8236223,2.33e-05,-,-,-,-,-
Populus nigra,VSC,5,7,0.26,0.8236223,2.33e-05,-,-,-,-,-
Populus nigra,IAVC,2,21,-,-,0.0002052,-1.273e-08,-,-,-,-
Populus nigra,IAVC,3,21,-,-,0.0002052,-1.273e-08,-,-,-,-
